Cust_ID,Gender,Age,Married,Number_of_Dependents,City,Zip_Code,Number_of_Referrals,,Offer,Phone_Service,Multiple_Lines,Internet_Service,Internet_Type,Online_Security,Online_Backup,Device_Protection_Plan,Premium_Tech_Support,Streaming_TV,Streaming_Movies,Streaming Music,Unlimited_Data,Contract,Paperless_Billing,Payment_Method,Monthly_Charge,Total_Charges,Total_Refunds,Total_Extra_Data_Charges,Total_Revenue,Customer_Status,Churn_Category,Churn_Reason
4622-YNKIJ,Male,59,No,0,Norwalk,90650,0,33,Offer C,Yes,No,Yes,Fiber Optic,Yes,No,No,Yes,Yes,No,No,Yes,Two Year,Yes,Bank Withdrawal,88.95,3027.65,0,0,4599.77,Stayed,,
4623-ZKHLY,Male,43,Yes,0,Ontario,91762,1,22,Offer D,Yes,No,No,,,,,,,,,,Month-to-Month,Yes,Bank Withdrawal,20.45,471.55,0,0,928.71,Stayed,,
4625-EWPTF,Male,55,No,0,Pasadena,91104,0,8,Offer E,No,,Yes,Cable,Yes,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,30.45,226.45,0,0,226.45,Churned,Competitor,Competitor had better devices
4625-LAMOB,Male,36,No,0,Fresno,93705,0,44,None,Yes,No,No,,,,,,,,,,Two Year,No,Credit Card,20.4,905.55,0,0,967.15,Stayed,,
4625-XMOYM,Female,37,Yes,1,Annapolis,95412,8,72,None,Yes,Yes,No,,,,,,,,,,Two Year,Yes,Bank Withdrawal,26.25,1988.05,0,0,2173.09,Stayed,,
4626-GYCZP,Male,60,No,0,Eureka,95503,0,7,None,Yes,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,93.85,635.6,0,0,744.17,Churned,Competitor,Competitor had better devices
4626-OZDTJ,Female,35,Yes,0,Wildomar,92595,10,51,Offer B,Yes,Yes,Yes,DSL,No,Yes,No,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Credit Card,78.65,3950.85,0,0,5248.8,Stayed,,
4627-MIHJH,Female,72,No,0,Stockton,95210,0,69,None,Yes,Yes,Yes,Fiber Optic,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Credit Card,110.25,7467.55,0,0,9082.15,Stayed,,
4628-CTTLA,Male,23,No,0,Sanger,93657,0,57,Offer B,No,,Yes,DSL,No,Yes,No,No,Yes,No,Yes,No,Month-to-Month,Yes,Bank Withdrawal,39.3,2111.45,0,80,2191.45,Churned,Dissatisfaction,Lack of self-service on Website
4628-WQCQQ,Male,37,No,0,Whittier,90603,0,35,None,Yes,No,Yes,Fiber Optic,No,No,Yes,No,Yes,No,No,Yes,One Year,Yes,Bank Withdrawal,85.15,3030.6,0,0,3923.45,Churned,Competitor,Competitor had better devices
4629-NRXKX,Female,47,Yes,0,El Monte,91731,1,2,None,Yes,No,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,70.4,147.15,0,0,239.61,Churned,Dissatisfaction,Network reliability
4631-OACRM,Male,78,No,0,Lake Forest,92630,0,15,None,Yes,No,Yes,Fiber Optic,No,No,No,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,79.4,1156.1,0,0,1414.55,Churned,Competitor,Competitor offered higher download speeds
4632-PAOYU,Male,37,Yes,1,Anaheim,92808,1,22,Offer D,Yes,No,No,,,,,,,,,,One Year,No,Credit Card,19.95,433.5,0,0,1256.3,Stayed,,
4632-XJMEX,Male,20,No,2,Fresno,93650,0,53,Offer B,Yes,No,Yes,Cable,Yes,Yes,No,Yes,No,No,No,Yes,One Year,No,Credit Card,62.85,3419.5,0,0,5953.43,Stayed,,
4633-MKHYU,Female,23,No,0,San Diego,92109,0,9,Offer E,Yes,No,Yes,Fiber Optic,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,88.4,788.6,0,0,1107.65,Stayed,,
4634-JLRJT,Female,30,No,0,Ontario,91764,0,1,Offer E,Yes,No,No,,,,,,,,,,Month-to-Month,Yes,Credit Card,20.35,20.35,0,0,50.21,Joined,,
4635-EJYPD,Male,39,Yes,1,Tomales,94971,2,32,None,Yes,No,No,,,,,,,,,,Two Year,No,Credit Card,18.95,613.95,0,0,1746.43,Stayed,,
4636-JGAAI,Male,28,Yes,0,San Jose,95120,10,34,None,Yes,Yes,Yes,Fiber Optic,No,Yes,No,No,No,Yes,Yes,Yes,Month-to-Month,No,Credit Card,88.85,3000.25,0,0,3475.23,Stayed,,
4636-OLWOE,Male,20,No,2,Fortuna,95540,0,54,Offer B,Yes,No,Yes,Cable,No,Yes,Yes,Yes,No,No,No,Yes,One Year,Yes,Bank Withdrawal,61,3283.05,0,0,3507.69,Stayed,,
4636-QRJKY,Female,64,Yes,0,Idyllwild,92549,1,6,None,Yes,Yes,Yes,Fiber Optic,No,No,No,Yes,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,80.5,502.85,0,0,719.57,Churned,Price,Price too high
4636-TVXVG,Male,28,Yes,2,Woodacre,94973,9,62,None,Yes,No,No,,,,,,,,,,One Year,No,Bank Withdrawal,19.95,1244.8,0,0,4218.32,Stayed,,
4640-UHDOS,Female,60,Yes,0,Phelan,92371,3,13,Offer D,Yes,No,Yes,DSL,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,55.95,734.35,0,0,982,Churned,Competitor,Competitor had better devices
4641-FROLU,Female,49,Yes,1,La Honda,94020,8,30,Offer C,Yes,No,No,,,,,,,,,,Two Year,No,Credit Card,19.3,602.9,0,0,950.9,Stayed,,
4644-OBGFZ,Male,43,Yes,3,San Francisco,94115,5,55,None,Yes,No,No,,,,,,,,,,One Year,No,Credit Card,19.5,1026.35,0,0,3019,Stayed,,
4644-PIZRT,Male,36,Yes,3,Long Barn,95335,5,17,None,Yes,Yes,Yes,DSL,Yes,No,Yes,No,Yes,No,No,Yes,One Year,Yes,Bank Withdrawal,70.35,1201.65,0,0,1766.73,Stayed,,
4646-QZXTF,Female,38,Yes,0,San Juan Bautista,95045,4,7,None,Yes,No,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,81.25,580.1,47.36,0,617.86,Stayed,,
4647-MUZON,Female,56,Yes,0,Port Hueneme,93041,9,18,Offer D,Yes,No,Yes,Fiber Optic,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,95.95,1745.5,6.72,0,2271.58,Stayed,,
4647-XXZAM,Female,41,Yes,1,Los Angeles,90037,1,6,None,Yes,No,Yes,DSL,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Credit Card,45.5,285.2,0,0,461.66,Stayed,,
4648-YPBTM,Male,35,No,0,Arcadia,91007,0,53,None,Yes,Yes,Yes,DSL,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,73.9,3958.25,0,0,4304.87,Stayed,,
4652-NNHNY,Male,32,Yes,0,Fellows,93224,1,16,None,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,73.85,1284.2,0,0,1571.56,Churned,Other,Don't know
4652-ODEVH,Male,43,Yes,3,Dutch Flat,95714,10,45,None,Yes,Yes,No,,,,,,,,,,Two Year,No,Mailed Check,24.45,1088.25,0,0,3217.2,Stayed,,
4654-DLAMQ,Female,69,Yes,0,Warner Springs,92086,9,64,None,Yes,No,Yes,Fiber Optic,Yes,Yes,Yes,No,No,Yes,No,Yes,One Year,No,Bank Withdrawal,97,6430.9,0,0,6671.54,Stayed,,
4654-GGUII,Female,28,No,0,Smartville,95977,0,18,None,No,,Yes,DSL,Yes,Yes,No,Yes,No,No,No,No,One Year,Yes,Credit Card,-5,711.95,0,90,801.95,Stayed,,
4654-ULTTN,Male,34,Yes,0,Fillmore,93015,9,70,Offer A,Yes,Yes,Yes,DSL,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Two Year,Yes,Credit Card,74.8,5315.8,0,0,5895.4,Stayed,,
4656-CAURT,Male,57,No,0,Phillipsville,95559,0,69,None,Yes,Yes,No,,,,,,,,,,Two Year,No,Bank Withdrawal,23.95,1713.1,0,0,3247.66,Stayed,,
4657-FWVFY,Female,51,Yes,2,Kings Beach,96143,4,40,None,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card,96.35,3915.4,0,0,5092.2,Stayed,,
4658-HCOHW,Female,52,Yes,0,Redwood Valley,95470,1,21,None,Yes,No,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,102.8,2110.15,0,0,2460.22,Churned,Competitor,Competitor had better devices
4659-NZRUF,Female,64,No,0,Oakland,94609,0,19,Offer D,Yes,Yes,Yes,Fiber Optic,Yes,Yes,No,No,No,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,95.15,1789.25,0,120,2533.78,Churned,Price,Long distance charges
4660-IRIBM,Male,32,Yes,1,Crows Landing,95313,1,18,Offer D,Yes,No,Yes,Fiber Optic,Yes,No,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Mailed Check,87.9,1500.5,0,0,1935.38,Stayed,,
4661-NJEUX,Male,42,No,0,Portola Valley,94028,0,1,None,Yes,No,No,,,,,,,,,,Month-to-Month,Yes,Credit Card,20.05,20.05,0,0,23.28,Joined,,
4662-EKDPQ,Male,44,No,0,San Diego,92121,0,2,None,Yes,Yes,Yes,Cable,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,62.05,118.3,0,0,192.88,Churned,Competitor,Competitor made better offer
4664-NJCMS,Female,52,Yes,0,San Francisco,94133,7,33,Offer C,No,,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Bank Withdrawal,59.55,2016.3,0,0,2016.3,Stayed,,
4667-OHGKG,Male,61,No,0,Summerland,93067,0,1,None,Yes,No,No,,,,,,,,,,Month-to-Month,Yes,Credit Card,19.3,19.3,0,0,68.5,Churned,Dissatisfaction,Service dissatisfaction
4667-QONEA,Female,72,Yes,0,Los Angeles,90064,9,60,Offer B,Yes,No,Yes,Cable,Yes,Yes,Yes,Yes,No,Yes,No,Yes,One Year,Yes,Credit Card,74.85,4456.35,0,0,7390.35,Stayed,,
4670-TABXH,Male,53,Yes,0,Hawthorne,90250,6,72,None,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,109.75,7758.9,0,0,9411.3,Stayed,,
4671-LXRDQ,Male,44,No,0,Salyer,95563,0,2,None,Yes,No,Yes,Cable,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Credit Card,45,96.45,0,30,160.95,Churned,Competitor,Competitor had better devices
4671-VJLCL,Female,36,No,0,Los Angeles,90046,0,63,Offer B,Yes,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Two Year,Yes,Credit Card,79.85,4861.45,0,0,5669.11,Stayed,,
4672-FOTSD,Male,54,No,0,Dorris,96023,0,12,Offer D,Yes,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,67.25,832.3,0,0,1381.9,Stayed,,
4673-KKSLS,Female,56,No,0,Oakland,94605,0,31,None,Yes,No,Yes,Fiber Optic,Yes,No,Yes,Yes,No,No,No,No,Month-to-Month,No,Bank Withdrawal,87.6,2724.25,0,70,4062.77,Stayed,,
4674-HGNUA,Male,57,Yes,3,Petrolia,95558,6,71,Offer A,Yes,Yes,Yes,Cable,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Credit Card,89.9,6457.15,0,0,8681.58,Stayed,,
4676-MQUEA,Male,80,Yes,0,Laguna Beach,92651,9,50,None,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,No,Yes,No,No,Yes,One Year,Yes,Bank Withdrawal,101.9,5265.5,0,0,5990,Stayed,,
4676-WLUHT,Male,51,No,0,Darwin,93522,0,54,Offer B,No,,Yes,DSL,Yes,Yes,No,No,No,Yes,Yes,Yes,Two Year,No,Bank Withdrawal,46.2,2431.95,0,0,2431.95,Stayed,,
4678-DVQEO,Female,41,No,0,Bass Lake,93604,0,1,None,Yes,No,Yes,DSL,No,No,No,Yes,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,52.2,52.2,0,0,86.24,Churned,Competitor,Competitor made better offer
4680-KUTAJ,Female,73,No,0,Beverly Hills,90212,0,11,None,Yes,Yes,Yes,DSL,Yes,No,No,No,No,No,No,Yes,Two Year,Yes,Bank Withdrawal,55.6,580.8,15.2,0,596.51,Stayed,,
4682-BLBUC,Male,19,Yes,0,La Crescenta,91214,1,44,None,Yes,No,Yes,DSL,No,Yes,Yes,Yes,Yes,No,No,Yes,One Year,Yes,Bank Withdrawal,70.95,3250.45,24.92,0,4528.37,Stayed,,
4683-WYDOU,Male,54,Yes,0,Rancho Palos Verdes,90275,8,62,None,Yes,Yes,Yes,Fiber Optic,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,107.6,6912.7,0,0,9059.14,Stayed,,
4685-ERGHK,Male,45,No,0,Gasquet,95543,0,57,Offer B,Yes,Yes,Yes,Fiber Optic,No,No,No,No,Yes,No,No,Yes,One Year,Yes,Bank Withdrawal,86.9,4939.25,0,0,6995.81,Stayed,,
4685-TFLLS,Male,39,Yes,3,Spreckels,93962,1,18,Offer D,Yes,No,No,,,,,,,,,,One Year,No,Bank Withdrawal,19.8,342.3,0,0,1155.54,Stayed,,
4686-GEFRM,Male,23,Yes,0,Pioneertown,92268,5,70,Offer A,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,98.7,6858.9,0,0,10025.7,Stayed,,
4686-UXDML,Female,24,No,0,Cutler,93615,0,21,None,Yes,Yes,Yes,Fiber Optic,No,Yes,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,99.85,1992.55,0,0,2514.61,Stayed,,
4690-LLKUA,Male,68,No,0,San Diego,92130,0,17,None,Yes,No,Yes,DSL,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,45.05,770.6,0,0,1466.41,Churned,Competitor,Competitor made better offer
4690-PKDQG,Female,66,Yes,0,San Diego,92102,3,42,None,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,95.55,3930.6,0,0,4891.98,Stayed,,
4692-NNQRU,Female,49,Yes,0,Cloverdale,95425,7,21,Offer D,Yes,No,Yes,Fiber Optic,No,No,Yes,Yes,No,No,No,Yes,One Year,No,Bank Withdrawal,79.2,1742.45,0,0,2047.16,Stayed,,
4693-VWVBO,Female,60,No,0,Valley Springs,95252,0,3,None,Yes,No,No,,,,,,,,,,Month-to-Month,No,Bank Withdrawal,19.55,61.05,0,0,183.99,Joined,,
4694-PHWFW,Female,26,No,3,San Francisco,94105,0,8,None,Yes,No,No,,,,,,,,,,Month-to-Month,No,Mailed Check,19.95,170.9,0,0,537.86,Stayed,,
4695-VADHF,Male,53,Yes,0,Oakland,94606,1,18,None,Yes,No,Yes,DSL,No,No,Yes,No,No,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,57.45,990.85,15.73,0,1026.6,Churned,Competitor,Competitor had better devices
4695-WJZUE,Female,68,No,0,Irvine,92606,0,2,None,Yes,Yes,Yes,Fiber Optic,No,No,Yes,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,88.55,179.25,0,0,222.39,Churned,Competitor,Competitor had better devices
4697-LUPSU,Male,22,Yes,0,Grover Beach,93433,6,2,None,Yes,No,No,,,,,,,,,,One Year,No,Credit Card,20.2,34.75,0,0,111.57,Joined,,
4698-KVLLG,Female,66,No,0,San Quentin,94964,0,51,None,Yes,No,No,,,,,,,,,,Two Year,No,Credit Card,19.6,967.9,0,0,3388.36,Stayed,,
4700-UBQMV,Male,42,Yes,3,Stockton,95206,6,21,None,Yes,Yes,Yes,DSL,Yes,No,No,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,75.9,1549.75,0,0,2212.3,Stayed,,
4701-AHWMW,Male,30,Yes,0,Susanville,96130,1,55,None,No,,Yes,DSL,No,No,Yes,Yes,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,54.55,2978.3,0,50,3028.3,Churned,Attitude,Attitude of service provider
4701-LKOZD,Female,64,No,0,Foresthill,95631,0,70,None,Yes,Yes,Yes,Cable,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Two Year,No,Credit Card,89.75,6367.2,0,110,8544.3,Stayed,,
4701-MLJPN,Male,60,No,0,Fresno,93702,0,31,Offer C,Yes,No,Yes,DSL,No,No,Yes,Yes,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,55.25,1715.65,0,10,1773.08,Churned,Attitude,Attitude of support person
4702-HDRKD,Male,30,No,0,Knights Landing,95645,0,67,Offer A,No,,Yes,Cable,Yes,No,Yes,Yes,Yes,No,No,Yes,One Year,Yes,Bank Withdrawal,49.35,3321.35,0,0,3321.35,Stayed,,
4702-IOQDC,Female,58,No,0,Gustine,95322,0,1,Offer E,Yes,No,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,70.1,70.1,0,0,116.27,Churned,Competitor,Competitor offered higher download speeds
4703-MQYKT,Male,43,No,0,Escondido,92025,0,21,None,Yes,No,No,,,,,,,,,,Two Year,No,Mailed Check,19.6,390.4,0,0,743.41,Stayed,,
4704-ERYFC,Female,19,Yes,0,Knights Landing,95645,1,22,None,Yes,No,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,69.25,1554,0,0,2260.42,Churned,Competitor,Competitor offered higher download speeds
4706-AXVKM,Female,78,No,0,Stevenson Ranch,91381,0,11,None,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,Yes,No,Yes,Month-to-Month,Yes,Credit Card,84.8,906.85,0,0,951.95,Churned,Price,Extra data charges
4706-DGAHW,Male,73,No,0,California Hot Springs,93207,0,1,Offer E,Yes,No,Yes,DSL,No,No,No,No,No,No,No,Yes,Two Year,No,Bank Withdrawal,45.2,45.2,0,0,94.54,Joined,,
4707-MAXGU,Male,36,Yes,0,Canyon Country,91351,1,72,None,Yes,Yes,No,,,,,,,,,,Two Year,No,Credit Card,25.85,1872.2,5.73,0,4460.63,Stayed,,
4707-YNOQA,Female,57,Yes,1,Burnt Ranch,95527,6,34,None,Yes,Yes,No,,,,,,,,,,One Year,Yes,Credit Card,25.6,917.15,0,0,1790.61,Stayed,,
4709-LKHYG,Female,23,Yes,0,Tarzana,91356,6,29,Offer C,Yes,No,No,,,,,,,,,,One Year,No,Bank Withdrawal,20,540.05,0,0,1343.93,Stayed,,
4710-FDUIZ,Male,50,Yes,0,Santa Ana,92707,2,56,None,Yes,Yes,Yes,Fiber Optic,No,Yes,No,No,Yes,Yes,Yes,No,One Year,No,Credit Card,100.3,5614.45,0,100,7178.85,Churned,Competitor,Competitor offered more data
4710-NKCAW,Male,42,Yes,2,El Cajon,92019,7,5,None,Yes,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,No,Yes,Month-to-Month,No,Credit Card,64.4,316.9,0,0,403.75,Stayed,,
4712-AUQZO,Male,53,No,0,Pinole,94564,0,18,None,No,,Yes,DSL,Yes,No,Yes,No,No,No,No,Yes,Month-to-Month,No,Credit Card,33.6,550.35,0,0,550.35,Stayed,,
4712-UYOOI,Female,21,Yes,3,Santa Cruz,95060,4,20,None,Yes,No,No,,,,,,,,,,Month-to-Month,No,Bank Withdrawal,20,417.65,9.73,0,1179.92,Stayed,,
4713-LZDRV,Female,80,No,0,Malibu,90263,0,2,Offer E,Yes,No,Yes,Cable,No,No,No,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,79.6,195.05,0,0,258.87,Churned,Price,Long distance charges
4713-ZBURT,Male,33,No,2,Brisbane,94005,0,45,None,Yes,Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,Yes,Yes,Yes,Two Year,No,Bank Withdrawal,99.7,4634.35,0,0,5693.65,Stayed,,
4716-HHKQH,Male,68,Yes,0,Pomona,91767,3,20,None,Yes,Yes,Yes,Fiber Optic,No,Yes,No,Yes,Yes,Yes,No,Yes,One Year,No,Bank Withdrawal,107.05,2172.05,0,0,2723.25,Stayed,,
4716-MRVEN,Female,30,No,0,Parlier,93648,0,29,Offer C,Yes,No,No,,,,,,,,,,One Year,No,Credit Card,20,599.3,0,0,1539.77,Stayed,,
4717-GHADL,Female,39,No,0,Callahan,96014,0,50,Offer B,Yes,Yes,Yes,DSL,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Mailed Check,79.6,4024.2,0,0,6446.7,Stayed,,
4718-DHSMV,Female,22,No,0,Llano,93544,0,11,Offer D,No,,Yes,DSL,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card,35.8,363.15,0,0,363.15,Stayed,,
4718-WXBGI,Male,21,Yes,1,Twain Harte,95383,1,72,Offer A,Yes,Yes,Yes,Cable,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,91.95,6614.9,0,0,8566.1,Stayed,,
4719-UMSIY,Male,52,No,2,Lake Arrowhead,92352,0,6,None,Yes,No,No,,,,,,,,,,Month-to-Month,No,Mailed Check,19.65,100.9,0,0,193.9,Stayed,,
4720-VSTSI,Female,54,No,0,Monterey Park,91754,0,44,None,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,84.8,3862.55,0,0,5630.03,Churned,Attitude,Attitude of support person
4723-BEGSG,Male,35,Yes,0,Corona,92881,1,72,None,Yes,Yes,Yes,Cable,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Credit Card,-10,6094.25,3.2,0,6963.69,Stayed,,
4724-WXVWF,Male,28,No,0,Earp,92242,0,48,None,Yes,Yes,Yes,Fiber Optic,Yes,No,No,Yes,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,95.4,4445.3,0,0,4644.5,Stayed,,
4726-DLWQN,Male,69,No,0,Live Oak,95953,0,50,Offer B,Yes,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,No,No,Month-to-Month,Yes,Bank Withdrawal,70.35,3454.6,0,100,4816.1,Stayed,,
4727-MCYZG,Male,23,No,0,Union City,94587,0,1,Offer E,Yes,No,Yes,DSL,No,No,No,No,No,Yes,Yes,No,Month-to-Month,No,Mailed Check,55.55,55.55,0,30,118.87,Joined,,
4729-XKASR,Male,56,No,3,San Jose,95123,0,1,None,No,,Yes,DSL,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,24.75,24.75,0,0,24.75,Churned,Competitor,Competitor had better devices
4730-AWNAU,Male,59,Yes,0,Lower Lake,95457,7,36,None,No,,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Credit Card,60.7,2234.55,0,0,2234.55,Stayed,,
4732-RRJZC,Male,31,Yes,1,Bridgeville,95526,9,7,None,Yes,No,No,,,,,,,,,,Month-to-Month,No,Credit Card,20.25,144.35,0,0,424.21,Stayed,,
4735-ASGMA,Male,55,No,0,Carnelian Bay,96140,0,26,None,Yes,Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,98.35,2515.3,0,0,3559.72,Churned,Competitor,Competitor had better devices
4735-BJKOU,Female,33,No,0,Los Angeles,90039,0,40,None,Yes,No,No,,,,,,,,,,Two Year,No,Mailed Check,20.15,804.85,0,0,1139.25,Stayed,,
4737-AQCPU,Male,39,Yes,0,Los Angeles,90022,5,72,None,Yes,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,No,No,Yes,Two Year,No,Credit Card,72.1,5016.65,0,0,8080.25,Stayed,,
4737-HOBAX,Male,51,Yes,0,Penngrove,94951,5,63,None,Yes,Yes,Yes,Cable,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Credit Card,79.8,5034.05,0,0,5668.46,Stayed,,
4741-WWJQZ,Female,49,Yes,0,Forestville,95436,0,2,Offer E,Yes,No,Yes,Fiber Optic,Yes,No,No,Yes,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,80.15,194.55,0,0,247.71,Joined,,
4742-DRORA,Male,59,Yes,0,Mecca,92254,5,60,Offer B,Yes,Yes,Yes,Fiber Optic,Yes,No,Yes,No,Yes,No,No,Yes,One Year,Yes,Bank Withdrawal,95.4,5812,0,0,6137.8,Stayed,,
4742-TXUEX,Female,24,Yes,3,Rialto,92376,1,47,None,Yes,No,No,,,,,,,,,,Two Year,No,Bank Withdrawal,19.3,890.5,0,0,1010.82,Stayed,,
4745-LSPLO,Male,22,No,0,San Diego,92111,0,1,None,Yes,No,No,,,,,,,,,,Month-to-Month,No,Credit Card,20.5,20.5,0,0,40.35,Churned,Attitude,Attitude of support person
4747-LCAQL,Male,28,No,0,Los Angeles,90037,0,25,Offer C,Yes,No,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,79,1902,0,0,2090.75,Stayed,,
4749-OJKQU,Female,36,No,0,San Jose,95132,0,4,None,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,75.65,302.35,0,0,396.35,Stayed,,
4749-VFKVB,Female,47,No,0,Inverness,94937,0,1,None,Yes,Yes,Yes,DSL,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,50.1,50.1,0,0,96.59,Churned,Other,Don't know
4750-UKWJK,Female,77,Yes,0,Gilroy,95020,1,37,None,Yes,No,No,,,,,,,,,,One Year,No,Mailed Check,19.6,727.8,0,0,1665.75,Stayed,,
4750-ZRXIU,Female,68,No,0,Palo Alto,94304,0,4,None,Yes,Yes,Yes,Cable,No,No,No,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,84.6,360.1,0,0,386.82,Churned,Competitor,Competitor had better devices
4751-ERMAN,Male,43,Yes,0,Gazelle,96034,7,72,None,Yes,No,Yes,Cable,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,75.4,5480.25,0,0,8515.77,Stayed,,
4753-PADAS,Female,23,Yes,0,Bieber,96009,2,67,Offer A,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,105.7,6816.95,0,0,8522.77,Stayed,,
4759-PXTAN,Female,34,Yes,0,Potter Valley,95469,7,59,None,Yes,Yes,Yes,DSL,No,Yes,No,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,80.1,4693.2,0,0,5889.13,Stayed,,
4759-TRPLW,Male,40,No,0,Long Beach,90822,0,1,Offer E,Yes,No,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,70.4,70.4,0,0,100.03,Churned,Competitor,Competitor had better devices
4760-THGOT,Female,33,Yes,0,San Jose,95134,9,43,None,Yes,Yes,Yes,Fiber Optic,Yes,Yes,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,94.1,4107.3,0,0,6234.94,Stayed,,
